All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
E7,GPIO0,,GPIO0,EPWM1_A,,,GPIO0,CLB_OUTPUTXBAR1,I2CA_SDA,,GPIO0,EMIF1_A13,ESC_GPI0,,GPIO0,FSITXA_D0,,
A6,GPIO1,,GPIO1,EPWM1_B,,,GPIO1,CLB_OUTPUTXBAR2,I2CA_SCL,,GPIO1,EMIF1_A14,ESC_GPI1,,GPIO1,FSITXA_D1,,
B6,GPIO2,,GPIO2,EPWM2_A,,,GPIO2,OUTPUTXBAR1,I2CB_SDA,UARTA_TX,GPIO2,EMIF1_A15,ESC_GPI2,,GPIO2,FSITXA_CLK,,
C6,GPIO3,,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,I2CB_SCL,UARTA_RX,GPIO3,,ESC_GPI3,,GPIO3,FSIRXA_D0,,
D6,GPIO4,,GPIO4,EPWM3_A,,,GPIO4,OUTPUTXBAR3,CANA_TX,,GPIO4,MCANA_TX,ESC_GPI4,,GPIO4,FSIRXA_D1,,
B3,GPIO10,EPWM6_A,GPIO10,EPWM6_A,EMIF1_CAS,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,SD4_C1,GPIO10,MCANA_RX,CLB_OUTPUTXBAR5,ESC_TX0_DATA0,GPIO10,FSIRXB_D1,FSITXA_CLK,FSIRXA_D1
B2,GPIO11,EPWM6_B,GPIO11,EPWM6_B,SCIB_RX,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,SD4_D1,GPIO11,,ESC_GPO3,ESC_TX0_DATA1,GPIO11,FSIRXB_CLK,FSIRXA_D1,PMBUSA_ALERT
B1,GPIO12,GPIO12,GPIO12,EPWM7_A,CLB_OUTPUTXBAR6,ADCSOCAO,GPIO12,EQEP1_STROBE,SCIA_TX,SD4_C2,GPIO12,EMIF1_A1,ESC_GPO4,ESC_TX0_DATA2,GPIO12,FSIRXC_D0,FSIRXA_D0,PMBUSA_CTL
C1,GPIO13,GPIO13,GPIO13,EPWM7_B,CLB_OUTPUTXBAR7,EQEP5_STROBE,GPIO13,EQEP1_INDEX,SCIA_RX,SD4_D2,GPIO13,EMIF1_CS0n,ESC_GPO5,ESC_TX0_DATA3,GPIO13,FSIRXC_D1,FSIRXA_CLK,PMBUSA_SDA
C2,GPIO14,GPIO14,GPIO14,EPWM8_A,SCIB_TX,EQEP5_INDEX,GPIO14,LINA_TX,OUTPUTXBAR3,OUTPUTXBAR8,GPIO14,,ESC_GPO6,ESC_PHY1_LINKSTATUS,GPIO14,FSIRXC_CLK,EMIF1_D17,PMBUSA_SCL
C3,GPIO15,,GPIO15,EPWM8_B,SCIB_RX,,GPIO15,LINA_RX,OUTPUTXBAR4,CLB_OUTPUTXBAR8,GPIO15,,ESC_GPO7,EQEP5_A,GPIO15,FSIRXD_D0,,EMIF1_DQM2
B8,GPIO25,,GPIO25,OUTPUTXBAR2,EQEP2_B,,GPIO25,LINB_RX,SPIB_POCI,SD2_C1,GPIO25,PMBUSA_SDA,EMIF1_DQM1,EQEP5_B,GPIO25,EPWM13_B,FSITXA_D1,ESC_RX0_DV
L9,GPIO30,,GPIO30,CANA_RX,EMIF1_CLK,MCANA_RX,GPIO30,OUTPUTXBAR7,EQEP3_STROBE,SD2_D4,GPIO30,EMIF1_CS4n,ESC_LATCH1,ESC_I2C_SCL,GPIO30,EPWM16_A,ESC_SYNC1,SPID_PICO
K7,GPIO34,,GPIO34,OUTPUTXBAR1,EMIF1_CS2n,SPIA_CLK,GPIO34,EQEP4_STROBE,I2CB_SDA,CLB_OUTPUTXBAR3,GPIO34,EMIF1_BA1,ESC_LATCH0,EPWM18_A,GPIO34,SCIA_TX,ESC_SYNC0,
